symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,Company
0,gas,std,four,wagon,fwd,4.565389315976247,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,4.499809670330265,5100,23,31,9.137231900155545,renault
1,gas,std,two,hatchback,fwd,4.5612182984589085,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,4.127134385045092,4800,31,38,8.754318540250866,toyota
0,gas,std,four,sedan,fwd,4.609162207257629,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,5.0238805208462765,5200,19,25,9.510370887608827,nissan
0,gas,std,four,hatchback,fwd,4.576770711466393,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,4.574710978503383,5200,27,34,9.099297073182859,nissan
0,diesel,turbo,four,sedan,rwd,4.681204872264089,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,4.553876891600541,4150,28,33,9.795345393916424,peugeot
1,gas,turbo,four,sedan,fwd,4.56746831880408,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,4.7535901911063645,5500,23,30,9.13550906135318,mitsubishi
1,gas,std,two,hardtop,rwd,4.718498871295094,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,5.214935757608986,4500,14,16,10.72326738402944,buick
1,gas,std,four,sedan,fwd,4.540098189244376,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,4.219507705176107,5500,31,38,8.808668062106715,plymouth
-1,gas,turbo,four,sedan,rwd,4.692264892839025,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,4.736198448394496,5400,19,25,10.026810768568128,volvo
0,gas,std,four,sedan,fwd,4.548599834499697,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,4.248495242049359,5400,38,43,8.791029857045965,chevrolet
2,gas,std,four,sedan,fwd,4.577798989191959,171.7,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10.0,4.605170185988092,5500,26,32,9.209840246934501,volkswagen
-1,gas,std,four,sedan,rwd,4.750135956238277,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,5.043425116919247,4750,16,18,10.439512977323862,buick
1,gas,std,two,hatchback,rwd,4.597138014290827,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,5.075173815233827,5200,19,25,9.820051594294094,nissan
1,gas,std,four,sedan,rwd,4.639571612705423,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,4.795790545596741,4250,20,25,10.109077944602749,bmw
1,gas,std,four,sedan,fwd,4.548599834499697,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,4.23410650459726,5200,31,37,8.831857935197906,nissan
3,gas,std,two,hatchback,rwd,4.633757642840004,183.5,67.7,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,5.081404364984463,5200,19,24,9.680218993408767,toyota
0,gas,std,four,wagon,fwd,4.609162207257629,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,5.0238805208462765,5200,17,22,9.57491403870827,nissan
